,Town,Tiong Bahru,Jurong,Woodlands,Paya Lebar,Serangoon,Buona,Punggol,Toa Payoh,CBD,Bishan,Tampines,Tuas,CCK,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona,Tiong Bahru->CBD,CBD->Tiong Bahru
2020-01-01 08:35:00,100,464,662,527,772,904,544,463,405,139,746,508,230,550,0,0,1,890,0,0,233,22,80,11,313,1,2,193,366,23,6,16,0,339,4,1,4,0,39,1,9,141,0,258,23,10,0,0
2020-01-01 08:40:00,99,477,525,429,746,756,468,397,416,147,652,383,204,470,0,0,10,943,0,0,316,28,99,6,395,3,3,184,572,28,9,53,0,347,25,0,5,0,122,2,22,241,2,297,82,37,0,0
2020-01-01 08:45:00,114,531,502,369,701,568,575,353,390,202,547,299,180,435,0,0,16,954,0,0,367,27,84,2,417,5,8,144,619,34,10,77,0,368,90,0,10,0,141,11,33,317,10,368,73,49,0,0
2020-01-01 08:50:00,176,552,548,331,690,566,433,328,360,237,515,245,163,411,0,0,22,881,0,0,448,32,51,1,380,6,18,75,773,89,12,110,4,249,106,1,27,14,99,6,32,455,23,369,114,48,0,0
2020-01-01 08:55:00,232,565,480,311,655,580,457,309,326,299,395,220,154,364,0,0,23,892,0,0,411,23,29,2,379,4,33,53,914,131,9,115,12,117,124,0,64,40,112,5,35,619,43,298,88,78,0,0
2020-01-01 09:00:00,302,547,489,310,685,487,359,302,277,397,329,217,152,321,0,0,18,898,0,0,443,17,15,4,355,1,46,36,1065,161,6,108,16,55,111,2,92,65,112,10,34,781,65,163,76,71,0,0
2020-01-01 09:05:00,382,503,542,312,664,398,542,304,236,512,279,236,160,285,0,0,14,901,0,0,395,15,7,7,287,1,47,21,1036,165,3,106,12,35,91,0,96,66,80,8,22,992,74,60,48,56,0,0
2020-01-01 09:10:00,452,464,621,316,538,350,478,308,203,608,264,268,174,259,0,0,11,880,0,0,407,7,6,8,213,1,42,13,1097,142,1,88,8,10,75,0,87,57,56,16,17,1191,75,32,102,55,0,0
2020-01-01 09:15:00,525,487,706,321,452,322,465,310,180,866,312,302,191,246,0,0,10,790,0,0,373,4,4,3,124,0,28,7,1173,123,0,81,6,6,61,0,59,45,34,6,15,1182,60,8,78,35,0,0
2020-01-01 09:20:00,592,535,794,327,374,312,591,313,191,899,233,338,203,239,0,0,7,790,0,0,323,2,2,2,52,0,21,4,1119,85,0,57,2,3,49,0,39,60,28,7,12,1278,45,5,47,20,0,0
2020-01-01 09:25:00,679,517,850,329,330,302,685,315,167,1019,293,359,214,233,0,0,5,685,0,0,179,3,1,2,15,0,14,2,1117,61,0,44,1,1,58,0,22,41,17,3,8,1271,44,3,84,27,0,0
2020-01-01 09:30:00,764,560,880,334,305,323,755,314,168,1091,278,382,218,230,0,0,2,625,0,0,87,2,0,0,11,0,10,1,1097,50,0,37,1,1,46,0,14,45,3,1,4,1249,33,1,59,19,0,0
2020-01-01 09:35:00,840,568,905,335,281,318,831,315,171,1184,311,403,224,228,0,0,1,528,0,0,33,1,0,0,6,0,4,0,1036,44,0,34,0,1,47,0,15,30,9,1,4,1204,26,0,49,13,0,0
2020-01-01 09:40:00,897,557,935,336,276,320,884,315,187,1251,357,415,228,227,0,0,0,400,0,0,12,3,0,1,2,0,0,0,949,29,0,35,1,0,48,0,20,23,9,1,2,1194,19,0,56,11,0,0
2020-01-01 09:45:00,944,570,955,336,278,329,959,315,214,1332,406,429,228,226,0,0,0,245,0,0,6,2,0,1,1,0,0,0,818,11,0,31,4,0,56,0,24,17,8,0,0,1166,11,0,73,5,0,0
2020-01-01 09:50:00,985,602,966,337,277,337,895,316,247,1552,478,434,228,226,0,0,0,43,0,0,3,2,0,0,1,0,0,0,795,0,0,34,3,0,69,0,32,14,8,0,0,1002,15,0,95,4,0,0
2020-01-01 09:55:00,1024,662,967,337,278,358,1032,319,279,1619,356,440,228,226,0,0,0,2,0,0,1,2,0,0,0,0,0,0,609,0,0,30,4,0,86,0,44,19,14,0,0,989,16,0,55,4,0,0
2020-01-01 10:00:00,1082,654,967,337,284,368,1085,319,238,1842,262,449,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,27,6,0,102,0,47,16,21,0,0,858,15,0,101,6,0,0
2020-01-01 10:05:00,1144,713,967,337,296,363,1189,323,189,2010,212,456,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,28,4,0,81,0,56,19,15,0,0,761,17,0,102,4,0,0
2020-01-01 10:10:00,1188,766,967,337,302,360,1342,325,148,2297,187,464,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,18,3,0,57,0,56,21,9,0,0,567,18,0,93,3,0,0
2020-01-01 10:15:00,1221,805,967,337,303,356,1296,327,119,2590,176,473,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2,0,36,0,45,19,6,0,0,367,17,0,66,4,0,0
2020-01-01 10:20:00,1238,825,968,337,308,353,1283,328,102,2903,171,482,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,22,0,38,12,3,0,0,133,9,0,17,4,0,0
2020-01-01 10:25:00,1243,803,968,337,309,353,1279,329,91,3106,169,490,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,13,0,29,11,0,0,0,0,3,0,7,2,0,0
2020-01-01 10:30:00,1252,791,968,337,308,353,1281,329,83,3147,169,491,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,15,6,0,0,0,0,3,0,0,3,0,0
2020-01-01 10:35:00,1259,778,969,337,307,353,1284,329,79,3172,169,493,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,0,0,0,2,0,0,1,0,0
2020-01-01 10:40:00,1262,773,969,337,307,353,1285,329,77,3184,169,494,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0
2020-01-01 10:45:00,1262,771,969,337,307,353,1285,329,76,3190,169,495,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 10:50:00,1263,771,969,337,307,353,1285,329,76,3192,169,495,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 10:55:00,1263,771,969,337,307,353,1285,329,76,3192,169,495,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:00:00,1263,771,969,337,307,353,1285,329,76,3192,169,495,228,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
