,Serangoon,Tuas,CBD,Buona,Paya Lebar,CCK,Jurong,Tampines,Town,Punggol,Woodlands,Tiong Bahru,Bishan,Toa Payoh,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-01 08:05:00,1014,326,5,491,785,789,563,926,116,1065,1577,377,692,461,0,0,4,22,0,0,13,7,7,233,0,0,4,88,279,7,2,4,6,46,0,2,0,0,0,13,0,0,12,64,0,0
2020-01-01 08:10:00,1031,324,5,571,763,689,479,864,110,1024,1553,364,688,461,0,0,1,148,0,0,26,60,7,234,0,0,3,46,280,3,18,1,4,77,0,6,0,0,0,55,0,0,6,99,0,0
2020-01-01 08:15:00,1093,319,5,553,748,612,397,783,105,1004,1398,310,706,463,0,0,0,413,0,0,38,198,25,183,1,0,3,24,271,1,73,0,1,67,0,5,0,0,0,44,0,0,2,155,0,0
2020-01-01 08:20:00,1090,300,5,445,766,571,343,727,94,908,1120,258,795,448,0,0,0,691,0,0,60,354,86,157,6,0,3,30,291,1,123,0,0,120,0,11,0,0,0,52,0,0,0,143,0,2
2020-01-01 08:25:00,1060,280,4,465,769,548,309,658,87,747,934,217,837,442,0,0,0,928,0,0,138,468,119,70,31,0,1,47,200,4,162,0,0,258,0,5,2,0,0,81,1,1,0,127,0,0
2020-01-01 08:30:00,1161,251,5,456,695,557,293,577,78,592,731,192,928,409,0,0,0,1113,0,0,230,550,103,21,79,0,1,71,105,13,170,3,0,316,0,9,0,1,5,131,1,2,0,150,0,1
2020-01-01 08:35:00,1328,222,5,367,669,521,317,463,74,477,569,182,915,406,0,0,3,1250,0,0,335,686,92,4,142,5,0,81,79,22,125,18,0,270,0,4,1,0,70,90,1,12,0,195,0,0
2020-01-01 08:40:00,1111,199,6,346,708,464,356,354,73,405,456,163,858,409,0,0,8,1335,0,0,472,760,74,0,196,7,2,82,62,24,80,93,0,316,38,1,0,0,180,50,2,73,0,223,0,14
2020-01-01 08:45:00,950,180,15,345,830,428,405,281,109,360,383,140,815,399,0,0,15,1378,0,0,609,710,62,0,190,7,11,72,109,33,44,170,2,232,84,0,2,2,191,29,1,201,5,182,1,18
2020-01-01 08:50:00,783,164,73,325,772,383,433,234,170,331,343,130,720,409,0,0,19,1331,0,0,729,748,43,3,159,6,27,58,171,86,22,241,6,132,117,0,25,5,229,14,1,387,27,124,8,12
2020-01-01 08:55:00,604,154,204,290,731,343,410,212,233,318,321,138,606,394,0,0,20,1290,0,0,845,772,27,10,144,1,42,47,237,128,12,279,11,89,138,0,59,32,173,13,2,506,49,74,27,15
2020-01-01 09:00:00,512,154,199,418,614,299,436,220,311,311,317,224,499,368,0,0,18,1296,0,0,820,737,20,13,120,0,51,37,249,96,7,239,10,26,147,0,92,63,149,8,2,755,55,41,51,16
2020-01-01 09:05:00,391,166,273,436,561,277,473,238,416,312,325,341,464,340,0,0,14,1299,0,0,877,635,9,9,85,1,49,25,216,104,2,190,11,17,141,0,105,30,84,11,1,938,52,23,48,11
2020-01-01 09:10:00,329,181,452,436,458,256,499,261,480,312,332,459,328,332,0,0,12,1300,0,0,910,638,5,4,59,1,42,15,208,111,0,133,10,9,127,0,107,12,49,9,1,1008,60,14,37,4
2020-01-01 09:15:00,284,198,542,543,376,243,577,283,533,318,338,546,388,279,0,0,8,1262,0,0,893,535,2,3,41,0,26,7,139,59,0,95,5,5,129,0,86,17,30,7,1,1122,55,7,15,3
2020-01-01 09:20:00,279,211,772,619,320,235,625,318,605,319,341,580,373,272,0,0,5,1221,0,0,907,473,1,2,25,0,15,4,52,43,0,82,6,3,101,0,74,5,15,4,0,1039,41,3,8,2
2020-01-01 09:25:00,266,221,827,711,279,229,647,336,641,322,346,629,464,280,0,0,2,1149,0,0,842,334,1,0,16,0,6,2,32,36,0,44,4,1,98,0,70,19,20,2,0,1080,37,2,4,1
2020-01-01 09:30:00,276,223,1028,699,264,227,677,358,698,325,348,650,475,315,0,0,0,1149,0,0,838,156,0,0,9,0,5,1,17,50,0,32,1,0,103,0,60,5,12,0,0,969,26,1,3,0
